,model_name,model_year,kms_driven,mileage,power,price,company,engine
627,Yamaha FZs,2014,72000.0,45.0,13.0,38800.0,Yamaha,150.0
628,KTM Duke,2020,16000.0,25.0,42.9,265000.0,KTM,390.0
629,Suzuki Gixxer,2016,60000.0,40.0,14.6,58000.0,Suzuki,150.0
630,Royal Enfield,2014,16000.0,40.0,19.8,115000.0,Royal,350.0
631,Royal Enfield,2011,4578.0,32.0,27.2,90000.0,Royal,500.0
632,Royal Enfield,2015,17960.0,40.0,19.8,90000.0,Royal,350.0
633,Royal Enfield,2015,14733.0,35.0,19.8,85000.0,Royal,350.0
634,KTM RC,2019,14000.0,26.0,42.3,173175.0,KTM,390.0
635,Honda CBR,2014,550000.0,38.0,18.28,50000.0,Honda,150.0
636,Hero Splendor,2010,23000.0,81.0,8.2,22000.0,Hero,100.0
637,Hero Super,2010,240000.0,75.0,9.0,26000.0,Hero,125.0
638,Bajaj Pulsar,2007,35000.0,65.0,15.0,11500.0,Bajaj,180.0
639,Yamaha YZF-R15,2018,22800.0,42.0,16.0,77400.0,Yamaha,150.0
640,Hero Karizma,2012,88000.0,40.0,17.0,22000.0,Hero,223.0
641,Hero Splendor,2018,12897.0,81.0,8.2,60000.0,Hero,100.0
642,Bajaj Avenger,2013,47000.0,40.0,19.0,33300.0,Bajaj,220.0
643,KTM Duke,2017,20000.0,35.0,24.6,130000.0,KTM,200.0
644,Mahindra Mojo,2016,25150.0,25.0,26.45,110000.0,Mahindra,300.0
645,Yamaha YZF-R15,2015,30000.0,42.0,16.0,65000.0,Yamaha,150.0
646,Royal Enfield,2013,11012.0,32.0,27.2,118200.0,Royal,500.0
647,Hero Glamour,2014,17000.0,55.0,8.9,30000.0,Hero,125.0
648,KTM Duke,2016,25000.0,35.0,24.6,120000.0,KTM,200.0
649,Royal Enfield,2016,10600.0,32.0,27.2,130000.0,Royal,500.0
650,Yamaha YZF-R15,2013,12200.0,42.0,16.7,70000.0,Yamaha,150.0
651,Hero Super,2012,28655.0,75.0,9.0,22000.0,Hero,125.0
652,Royal Enfield,2015,32000.0,35.0,19.8,90000.0,Royal,350.0
653,Royal Enfield,2015,17600.0,35.0,19.8,95000.0,Royal,350.0
654,Hero CD,2006,45000.0,65.0,7.7,16939.0,Hero,100.0
655,Hero Splendor,2012,2977.0,81.0,8.2,24100.0,Hero,100.0
656,Bajaj Pulsar,2010,25000.0,65.0,15.0,22000.0,Bajaj,180.0
657,Royal Enfield,2015,50000.0,35.0,19.8,115500.0,Royal,350.0
658,Yamaha FZs,2014,21100.0,45.0,13.0,45000.0,Yamaha,150.0
659,Suzuki Gixxer,2019,15500.0,63.0,14.0,92000.0,Suzuki,150.0
660,Bajaj Pulsar,2016,15241.0,38.0,21.0,63000.0,Bajaj,220.0
661,KTM Duke,2019,16500.0,35.0,24.6,155000.0,KTM,200.0
662,Bajaj Pulsar,2010,22000.0,38.0,21.0,40000.0,Bajaj,220.0
663,Bajaj Avenger,2011,19000.0,40.0,19.0,25000.0,Bajaj,220.0
664,Yamaha FZs,2013,22363.0,45.0,13.0,45000.0,Yamaha,150.0
665,Yamaha FZs,2013,27744.0,45.0,13.0,45000.0,Yamaha,150.0
666,Bajaj Pulsar,2014,31773.0,38.0,21.0,48000.0,Bajaj,220.0
667,Yamaha YZF-R15,2016,29963.0,42.0,16.7,100000.0,Yamaha,150.0
668,KTM Duke,2017,22352.0,25.0,42.9,180000.0,KTM,390.0
669,Yamaha FZs,2012,40000.0,45.0,13.0,45000.0,Yamaha,150.0
670,KTM RC,2019,1440.0,26.0,42.3,190000.0,KTM,390.0
671,Royal Enfield,2017,19000.0,32.0,24.5,118000.0,Royal,410.0
672,Royal Enfield,2016,21000.0,35.0,19.8,86250.0,Royal,350.0
673,Suzuki Gixxer,2016,13998.0,63.0,14.0,56969.0,Suzuki,150.0
674,Hero Splendor,2019,7886.0,55.0,8.2,65000.0,Hero,100.0
675,Royal Enfield,2014,30000.0,35.0,19.8,78750.0,Royal,350.0
676,Royal Enfield,2010,44000.0,35.0,19.8,60000.0,Royal,350.0
677,Bajaj Pulsar,2020,88000.0,62.0,11.64,55200.0,Bajaj,125.0
678,Hero Super,2019,12700.0,75.0,9.0,55000.0,Hero,125.0
679,Suzuki Gixxer,2021,7500.0,40.0,14.6,150000.0,Suzuki,150.0
680,KTM Duke,2015,20000.0,35.0,25.0,89900.0,KTM,200.0
681,Royal Enfield,2021,18000.0,35.0,19.1,172100.0,Royal,350.0
682,Hero Karizma,2006,47000.0,40.0,17.0,20000.0,Hero,223.0
683,Bajaj Avenger,2015,29614.0,40.0,19.0,55000.0,Bajaj,220.0
684,KTM Duke,2017,89000.0,25.0,42.9,93000.0,KTM,390.0
685,Bajaj Platina,2018,40126.0,90.0,8.1,34000.0,Bajaj,100.0
686,Royal Enfield,2020,3649.0,35.0,19.1,155000.0,Royal,350.0
687,Royal Enfield,2019,2000.0,35.0,19.8,175000.0,Royal,350.0
688,KTM Duke,2017,15000.0,35.0,24.6,89999.0,KTM,200.0
689,Royal Enfield,2019,10500.0,35.0,19.8,137000.0,Royal,350.0
690,Royal Enfield,2015,49900.0,26.0,29.1,135000.0,Royal,535.0
691,Hero Karizma,2009,96000.0,40.0,17.0,25000.0,Hero,223.0
692,Royal Enfield,2017,12000.0,35.0,19.8,140000.0,Royal,350.0
